tool_id,tool_name,tool_type,source,tool_url,short_description,category,capabilities,long_description,pricing
TOOL_0001,Data Analytics,ChatGPT App,ChatGPT Store,https://chatgpt.com/plugins/Plugin_fc9843a6fb34819195d6c7802398a8a7,[](https://chatgpt.com/),,,"* [New chat](https://chatgpt.com/) [Images](https://chatgpt.com/images) [Plugins](https://chatgpt.com/plugins) Deep research [See plans and pricing](https://openai.com/chatgpt/pricing/) Settings Help Get responses tailored to you Log in to get answers based on saved chats, plus create images and upload files. Log in [Plugins](https://chatgpt.com/plugins) Log in Sign up for free Answer product and business questions with data @Data Analytics Help me get started with my first data task@Data Analytics Analyze product or business data and recommend where to focus next@Data Analytics Diagnose why a key metric changed and identify the biggest drivers Data Analytics helps you turn questions about your product or business into answers you can trust. Ask why a metric changed, what the data shows about where a team should focus next, how to define KPIs, whether a dataset is reliable, or how large an opportunity might be, and it can help you investigate the data and turn the findings into shareable reports, charts, dashboards, notebooks, and recommendations. Start with the data you already have: connected warehouses, BI or product analytics tools, docs, chats, spreadsheets, uploaded files, pasted results, or clearly labeled sample data. The plugin guides you through the right workflow, checks sources where possible, and keeps the evidence visible in reviewable tables, charts, dashboards, and report apps you can share. Slack Send messages and fetch data Teams Look up chats and messages Notion Create docs, tasks, databases Outlook Email Review your Outlook email threads and calendar events to prepare for calls, revisit past conversations, surface upcoming meetings, or pull out action items. Use your communication and schedule history to create talking points, clarify follow-ups, and stay organized throughout your day. Outlook Calendar Review your Outlook email threads and calendar events to prepare for calls, revisit past conversations, surface upcoming meetings, or pull out action items. Use your communication and schedule history to create talking points, clarify follow-ups, and stay organized throughout your day. Google Drive Work with your Google Drive documents — including Google Docs, Sheets, Slides, Excel files, PDFs, and uploaded files — to create summaries, synthesize research, prepare updates, or pull context into new drafts. Combine information across several files to produce clear, structured content without manually switching between documents. BigQuery Query and manage BigQuery datasets, tables, jobs, and routines. SharePoint Work with documents stored in SharePoint or OneDrive — including PDFs, Word, PowerPoint, and Excel docs — to create onboarding guides, prepare pre-reads, summarize complex materials, or extract key points for stakeholders. Bring together content across multiple files to produce clear, accurate outputs grounded in your organization’s shared knowledge. GitHub Explore repository files, documentation, folder structures, and commit history to understand code, prepare reviews, or document a project. Summarize pull requests, clarify how parts of the codebase fit together, or turn technical details into approachable explanations when sharing work with others. Statsig Hex Ask questions, run analyses Deepnote Run data workflows with agents Amplitude Product intelligence Mixpanel Query and analyze Mixpanel PostHog Analyze your product data Omni Analytics Trusted answers from your data ThoughtSpot Spotter Your AI data analyst Databricks Genie Leverage Genie to deeply analyze and interact with data on the Databricks platform. Create and manage workspace assets, jobs, data pipelines, machine learning models, vector endpoints and more with optimized skills. Snowflake Metabase Query and explore your Metabase data Analyze Data Quality Build Dashboard Build Report Create Data Context Design KPIs Gather Business Context Index Jupyter Notebooks 7 more Interactive, Read, Write Developer OpenAI Website [](https://openai.com/) Version 0.2.8-13ceeea1f599 Privacy Policy [](https://openai.com/policies/privacy-policy/) Terms of Service [](https://openai.com/policies/terms-of-use/) Cookies help this site function, measure usage, and support marketing. Manage your cookie preferences anytime. Learn more about our [cookie policy](https://openai.com/policies/cookie-policy/). Reject non-essential Accept all",Free to connect
TOOL_0002,Investment Banking,ChatGPT App,ChatGPT Store,https://chatgpt.com/plugins/Plugin_68c39ea2b3888191827c933053f3a1d1,[](https://chatgpt.com/),,,"* [New chat](https://chatgpt.com/) [Images](https://chatgpt.com/images) [Plugins](https://chatgpt.com/plugins) Deep research [See plans and pricing](https://openai.com/chatgpt/pricing/) Settings Help Get responses tailored to you Log in to get answers based on saved chats, plus create images and upload files. Log in [Plugins](https://chatgpt.com/plugins) Log in Sign up for free M&A, capital markets, LevFin, valuation, diligence, and pitch workflows @Investment Banking Prepare an Intel strategic alternatives memo: asset sales, foundry partnerships, capital needs, buyers, and diligence gaps.@Investment Banking Build Boeing financing alternatives: liquidity needs, debt capacity, rating risk, equity or hybrid options, and banker advice.@Investment Banking Analyze Warner Bros. Discovery as a breakup candidate: buyers, asset separation, leverage, valuation, process risks, and gaps. Investment banking workflows for M&A, coverage, sponsors, ECM/DCM, LevFin, restructuring, capital advisory, valuation, buyer and investor targeting, diligence, pitch materials, and process execution. Slack Send messages and fetch data FactSet AI-Ready Data Seamless Financial Data LSEG Data and analytics S&P Global Query S&P Global data PitchBook Private capital market data Moody’s Detailed company and risk data Third Bridge Expert-led enhanced insights Daloopa Financial KPIs with links Quartr Company research data Datasite Manage your M&A data room Google Drive Work with your Google Drive documents — including Google Docs, Sheets, Slides, Excel files, PDFs, and uploaded files — to create summaries, synthesize research, prepare updates, or pull context into new drafts. Combine information across several files to produce clear, structured content without manually switching between documents. Buyer Investor List Capital Markets Issuance CIM Builder CIM Teardown Company Tearsheet Comps Valuation Covenant Package Analyzer DCF Model Builder 15 more Interactive, Read, Write Developer OpenAI Website [](https://openai.com/) Version 0.1.29 Privacy Policy [](https://openai.com/policies/row-privacy-policy/) Terms of Service [](https://openai.com/policies/row-terms-of-use/) Cookies help this site function, measure usage, and support marketing. Manage your cookie preferences anytime. Learn more about our [cookie policy](https://openai.com/policies/cookie-policy/). Reject non-essential Accept all",Free to connect
TOOL_0003,Public Equity Investing,ChatGPT App,ChatGPT Store,https://chatgpt.com/plugins/Plugin_b31b1ece54648191a6760ea4580bba3e,[](https://chatgpt.com/),,,"* [New chat](https://chatgpt.com/) [Images](https://chatgpt.com/images) [Plugins](https://chatgpt.com/plugins) Deep research [See plans and pricing](https://openai.com/chatgpt/pricing/) Settings Help Get responses tailored to you Log in to get answers based on saved chats, plus create images and upload files. Log in [Plugins](https://chatgpt.com/plugins) Log in Sign up for free Public equity PM research, long/short, earnings, ETF/index diligence, and memos @Public Equity Investing Build a deep NVIDIA pre-earnings preview: expectations, KPIs, margin debates, scenarios, and management questions.@Public Equity Investing Create a Disney long/short pitch: streaming, parks, ESPN, capital allocation, valuation, catalysts, and downside risks.@Public Equity Investing Build a Tesla catalyst and valuation brief: recent news, expectations, key debates, scenarios, risks, and an investment view. Public equity investing workflows for long-only investors, long/short hedge funds, sell-side equity research teams, ETF/index and constituent diligence, event-driven equity investors, and sector/thematic listed-equity research teams. Outputs should surface what is mispriced, what is priced in, what proves or kills the thesis, what to do next, and what evidence is missing. Use Credit Markets for credit instruments, creditworthiness, restructuring, distressed, recovery, spreads, yields, covenants, and debt security analysis. Slack Send messages and fetch data PitchBook Private capital market data FactSet AI-Ready Data Seamless Financial Data Morningstar Investment and market insights LSEG Data and analytics S&P Global Query S&P Global data Third Bridge Expert-led enhanced insights Daloopa Financial KPIs with links Quartr Company research data Alpaca Market data: stocks & crypto Google Drive Work with your Google Drive documents — including Google Docs, Sheets, Slides, Excel files, PDFs, and uploaded files — to create summaries, synthesize research, prepare updates, or pull context into new drafts. Combine information across several files to produce clear, structured content without manually switching between documents. Outlook Email Review your Outlook email threads and calendar events to prepare for calls, revisit past conversations, surface upcoming meetings, or pull out action items. Use your communication and schedule history to create talking points, clarify follow-ups, and stay organized throughout your day. SharePoint Work with documents stored in SharePoint or OneDrive — including PDFs, Word, PowerPoint, and Excel docs — to create onboarding guides, prepare pre-reads, summarize complex materials, or extract key points for stakeholders. Bring together content across multiple files to produce clear, accurate outputs grounded in your organization’s shared knowledge. Teams Look up chats and messages Catalyst Calendar Company Tearsheet Comps Valuation DCF Model Builder Deck & Report QC Earnings Deep Dive & Summary Earnings-Preview Economic Impact Report 15 more Interactive, Read, Write Developer OpenAI Website [](https://openai.com/) Version 0.1.31 Privacy Policy [](https://openai.com/policies/row-privacy-policy/) Terms of Service [](https://openai.com/policies/row-terms-of-use/) Cookies help this site function, measure usage, and support marketing. Manage your cookie preferences anytime. Learn more about our [cookie policy](https://openai.com/policies/cookie-policy/). Reject non-essential Accept all",Free to connect
TOOL_0004,Sales,ChatGPT App,ChatGPT Store,https://chatgpt.com/plugins/Plugin_af5b4b796b588191b3f2c610aa093799,[](https://chatgpt.com/),,,"* [New chat](https://chatgpt.com/) [Images](https://chatgpt.com/images) [Plugins](https://chatgpt.com/plugins) Deep research [See plans and pricing](https://openai.com/chatgpt/pricing/) Settings Help Get responses tailored to you Log in to get answers based on saved chats, plus create images and upload files. Log in [Plugins](https://chatgpt.com/plugins) Log in Sign up for free Practical workflows for sellers @Sales What can you do?@Sales Prepare me for my next important customer meeting. Give me the context, likely blockers, and questions I should ask.@Sales Which accounts should I focus on this week? Rank them, explain why, and recommend the next move for each. Slack Send messages and fetch data Teams Look up chats and messages Zoom Smart meeting insights from Zoom Zoom Revenue Accelerator Find sales insights Granola Add your meeting context Fireflies Search meeting transcripts Otter.ai Search meetings from Otter.ai Agentforce Sales Sales insights to close deals HubSpot Insights to action in HubSpot Close Access & manage Close CRM ZoomInfo B2B Data & GTM Intelligence Clay GTM Data and Functions HG Insights - RGI Prospect intelligence for sale Rox Query sales data Apollo.io Find buyers and close deals Actively Per-Account Agents for GTM Meticulate Manage prospecting Outlook Email Review your Outlook email threads and calendar events to prepare for calls, revisit past conversations, surface upcoming meetings, or pull out action items. Use your communication and schedule history to create talking points, clarify follow-ups, and stay organized throughout your day. Outreach AI Agents for Revenue Teams Notion Create docs, tasks, databases Google Drive Work with your Google Drive documents — including Google Docs, Sheets, Slides, Excel files, PDFs, and uploaded files — to create summaries, synthesize research, prepare updates, or pull context into new drafts. Combine information across several files to produce clear, structured content without manually switching between documents. SharePoint Work with documents stored in SharePoint or OneDrive — including PDFs, Word, PowerPoint, and Excel docs — to create onboarding guides, prepare pre-reads, summarize complex materials, or extract key points for stakeholders. Bring together content across multiple files to produce clear, accurate outputs grounded in your organization’s shared knowledge. Outlook Calendar Review your Outlook email threads and calendar events to prepare for calls, revisit past conversations, surface upcoming meetings, or pull out action items. Use your communication and schedule history to create talking points, clarify follow-ups, and stay organized throughout your day. Calendly Manage bookings & availability Monday.com Manage work in monday.com Docusign Manage contracts from ChatGPT Analyze Account Signals answers-ask-user-input Apollo User Guide Build Business Case Build Competitive Brief Enrich Company And Contact Data Find Customer Quotes Find Key Internal Sources 12 more Interactive, Read, Write Developer OpenAI Website [](https://openai.com/) Version 1.0.8 Privacy Policy [](https://openai.com/policies/row-privacy-policy/) Terms of Service [](https://openai.com/policies/row-terms-of-use/) Cookies help this site function, measure usage, and support marketing. Manage your cookie preferences anytime. Learn more about our [cookie policy](https://openai.com/policies/cookie-policy/). Reject non-essential Accept all",Free to connect
TOOL_0005,Product Design,ChatGPT App,ChatGPT Store,https://chatgpt.com/plugins/Plugin_fa77aec24fc08191bc6e57f377126d76,[](https://chatgpt.com/),,,"* [New chat](https://chatgpt.com/) [Images](https://chatgpt.com/images) [Plugins](https://chatgpt.com/plugins) Deep research [See plans and pricing](https://openai.com/chatgpt/pricing/) Settings Help Get responses tailored to you Log in to get answers based on saved chats, plus create images and upload files. Log in [Plugins](https://chatgpt.com/plugins) Log in Sign up for free Explore and prototype ideas @Product Design Help me get started@Product Design Turn this product idea into three visual directions@Product Design Design a landing page for my business Turn early ideas into prototypes teams can review. Explore product directions, audit user flows, research user friction, prototype from a live URL, and make static screenshots interactive. Start with a written brief, URL, screenshot, or existing design, then compare visual directions before building. Use available browser, Figma, Canva, image generation, and hosting tools to gather references, create concepts, review the result, and carry the work forward with your team. Audit Design QA Get Context Ideate Image To Code Product Design Research Share 2 more Interactive, Read, Write Developer OpenAI Website [](https://openai.com/) Version 0.1.50 Privacy Policy [](https://openai.com/policies/privacy-policy/) Terms of Service [](https://openai.com/policies/terms-of-use/) Cookies help this site function, measure usage, and support marketing. Manage your cookie preferences anytime. Learn more about our [cookie policy](https://openai.com/policies/cookie-policy/). Reject non-essential Accept all",Free to connect
TOOL_0006,GitHub,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_1p_1a69035c238881919c4190932b2df699,"Triage PRs, issues, CI, and publish flows",,,"Use GitHub to inspect repositories, review pull requests, address feedback, debug failing Actions checks, and prepare code changes for review through a connector-first workflow with targeted CLI fallbacks.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0007,We couldn't load this plugin right now.,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_connector_1p_ab21a553bfbc81919ea8fd1858e3ffa7,Please try again in a bit.,,,"Cookies help this site function, measure usage, and support marketing. Manage your cookie preferences anytime. Learn more about our [cookie policy](https://openai.com/policies/cookie-policy/). Reject non-essential Accept all",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0008,Notion,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69c18c28f1188191bf5b8445c4ab0a2e,"Search and read Notion workspace content, or create, edit, and organize pages and databases.",,,,Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0009,Linear,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69a089a326dc8191b32a3f2553f5be2c,Plan and build products,,,"Manage issues, projects, and team workflows in Linear from Codex.",Free to connect to ChatGPT; app use may require a ChatGPT plan.
TOOL_0010,ClickUp,ChatGPT App,ChatGPT Apps,https://chatgpt.com/plugins/plugin_asdk_app_69431e6d26b88191b4029488aeb42f5b,Turn Codex into your ClickUp command center.,,,"Turn Codex into your ClickUp command center. Ask anything, find everything, take action - without breaking your flow. • Deep workspace search: Ask questions naturally, get precise answers from across all your work • Action in the same breath: Find, create, update, and manage work in Codex • Zero context switching: Go from question to answer to action without leaving the conversation",Free to connect to ChatGPT; app use may require a ChatGPT plan.
